company_name,nse,exchange
Bharat Forge Limited,BHARATFORG,NSE
Bharat Heavy Electricals Limited,BHEL,NSE
Bharat Petroleum Corporation Limited,BPCL,NSE
Bharti Airtel Limited,BHARTIARTL,NSE
Bharti Hexacom Limited,BHARTIHEXA,NSE
Bikaji Foods International Limited,BIKAJI,NSE
Billionbrains Garage Ventures Limited (Groww),GROWW,NSE
Biocon Limited,BIOCON,NSE
Birla Corporation Limited,BIRLACORPN,NSE
Birlasoft LImited,BSOFT,NSE
Black Box Limited,BBOX,NSE
Black Buck Ltd,BLACKBUCK,NSE
BLACKBUCK LIMITED,BLACKBUCK,NSE
Blue Dart Express Ltd.,BLUEDART,NSE
Blue Star Limited,BLUESTARCO,NSE
Bluestone Jewellery and Lifestyle Limited,BLUESTONE,NSE
BLUSPRING ENTERPRISES LTD,BLUSPRING,NSE
Bombay Burmah Trading Corporation Limited,BBTC,NSE
Borosil Limited,BOROLTD,NSE
Bosch Limited,BOSCHLTD,NSE
Brainbees Solutions Limited (FirstCry),FIRSTCRY,NSE
BRIGADE ENTERPRISES LIMITED,BRIGADE,NSE
Brigade Hotel Ventures Limited,BRIGHOTEL,NSE
Britannia Industries Limited,BRITANNIA,NSE
BSE Limited,BSE,NSE
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,NSE
C.E. INFO SYSTEMS LTD,MAPMYINDIA,NSE
C.E.Info Systems Ltd.,MAPMYINDIA,NSE
Camlin Fine Sciences Ltd.,CAMLINFINE,NSE
Campus Activewear Limited,CAMPUS,NSE
Can Fin Homes Limited,CANFINHOME,NSE
Canara Bank,CANBK,NSE
Canara HSBC Life Insurance Company Limited,CANHLIFE,NSE
Canara Robeco Asset Management Company Ltd,CRAMC,NSE
Capacite Infraprojects Limited,CAPACITE,NSE
Capillary Technologies India Ltd.,CAPILLARY,NSE
Capri Global Capital Limited,CGCL,NSE
Carborundum Universal Limited,CARBORUNIV,NSE
CARE Ratings Limited,CARERATING,NSE
Carraro India Limited,CARRARO,NSE
CarTrade Tech Ltd.,CARTRADE,NSE
CARYSIL LIMITED,CARYSIL,NSE
Castrol India Limited,CASTROLIND,NSE
CCL Products (India) Limited,CCL,NSE
CEAT Limited,CEATLTD,NSE
CELLO WORLD LTD.,CELLO,NSE
Cemindia Projects Ltd,CEMPRO,NSE
Central Depository Services (India) Limited,CDSL,NSE
Central Mine Planning & Design Institute Limited,CMPDI,NSE
Centum Electronics Ltd.,CENTUM,NSE
Century Enka Ltd.,CENTENKA,NSE
Century Plyboards (India) Limited,CENTURYPLY,NSE
Cera Sanitaryware Ltd.,CERA,NSE
CESC Limited,CESC,NSE
CG Power and Industrial Solutions Limited,CGPOWER,NSE
Chalet Hotels Limited,CHALET,NSE
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,NSE
Chemplast Sanmar Limited,CHEMPLASTS,NSE
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,NSE
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,NSE
CIE Automotive India Limited,CIEINDIA,NSE
Cipla Limited,CIPLA,NSE
City Union Bank Limited,CUB,NSE
Clean Science and Technology Limited,CLEAN,NSE
CMR Green Technologies Limited,CMRGREEN,NSE
CMS INFO SYSTEMS LIMITED,CMSINFO,NSE
Coal India Limited,COALINDIA,NSE
Cochin Shipyard Ltd,COCHINSHIP,NSE
Coforge Limited,COFORGE,NSE
Cohance Lifesciences Limited,COHANCE,NSE
Colgate Palmolive (India) Limited,COLPAL,NSE
Computer Age Management Services Limited,CAMS,NSE
Concord Biotech Limited,CONCORDBIO,NSE
Concord Enviro Systems Limited,CEWATER,NSE
Container Corporation of India Limited,CONCOR,NSE
Coromandel International Limited,COROMANDEL,NSE
Corona Remedies Limited,CORONA,NSE
Craftsman Automation Limited,CRAFTSMAN,NSE
Credit Analysis And Research Ltd.,CARERATING,NSE
CreditAccess Grameen Limited,CREDITACC,NSE
CRISIL Ltd.,CRISIL,NSE
Crizac Ltd,CRIZAC,NSE
Crompton Greaves Consumer Elec. Ltd.,CROMPTON,NSE
Crompton Greaves Consumer Electricals Limited,CROMPTON,NSE
CSB Bank Limited,CSBBANK,NSE
Cummins India Limited,CUMMINSIND,NSE
Cyient DLM Limited,CYIENTDLM,NSE
Cyient Limited,CYIENT,NSE
D B Corp Limited,DBCORP,NSE
Dabur India Ltd.,DABUR,NSE
Dalmia Bharat Limited,DALBHARAT,NSE
DAM Capital Advisors Limited,DAMCAPITAL,NSE
Data Patterns (India) Limited,DATAPATTNS,NSE
DCB Bank Limited,DCBBANK,NSE
DCM Shriram Ltd.,DCMSHRIRAM,NSE
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,NSE
Deepak Nitrite Limited,DEEPAKNTR,NSE
Delhivery Limited,DELHIVERY,NSE
DEVYANI INTERNATIONAL LIMITED,DEVYANI,NSE
Dhanuka Agritech Limited,DHANUKA,NSE
Diffusion Engineers Limited,DIFFNKG,NSE
Digitide Solutions Limited,DIGITIDE,NSE
Divgi Torqtransfer Systems Limited,DIVGIITTS,NSE
Divi's Laboratories Limited,DIVISLAB,NSE
Dixon Technologies (India) Limited,DIXON,NSE
DLF Limited,DLF,NSE
Dodla Dairy Limited,DODLA,NSE
Doms Industries Limited,DOMS,NSE
Dr Agarwals Health Care Limited,AGARWALEYE,NSE
Dr Lal Pathlabs Ltd.,LALPATHLAB,NSE
Dr. Lal Path Labs Limited,LALPATHLAB,NSE
Dr. Reddy's Laboratories Limited,DRREDDY,NSE
Dredging Corporation of India Limited,DREDGECORP,NSE
E.I.D-Parry (India) Ltd.,EIDPARRY,NSE
E2E Networks Limited,E2E,NSE
eClerx Services Limited,ECLERX,NSE
Ecos India Mobility And Hospitality Ltd,ECOSMOBLTY,NSE
Edelweiss Financial Services Limited,EDELWEISS,NSE
EFC (I) Limited,EFCIL,NSE
Eicher Motors Limited,EICHERMOT,NSE
EIH Limited,EIHOTEL,NSE
Elantas Beck India Limited,ELANTAS,NSE
Elecon Engineering Co Ltd,ELECON,NSE
Electronics Mart India Limited,EMIL,NSE
Elgi Equipments Ltd.,ELGIEQUIP,NSE
Ellenbarrie Industrial Gases Limited,ELLEN,NSE
Emami Limited,EMAMILTD,NSE
Embassy Developments Limited,EMBDL,NSE
EMCURE PHARMACEUTICALS LIMITED,EMCURE,NSE
Emmvee Photovoltaic Power Limited,EMMVEE,NSE
eMudhra Limited,EMUDHRA,NSE
Endurance Technologies Limited,ENDURANCE,NSE
Engineers India Limited,ENGINERSIN,NSE
Entero Healthcare Solutions Ltd,ENTERO,NSE
Epack Durable Ltd,EPACK,NSE
Epigral Limited,EPIGRAL,NSE
EPL Limited,EPL,NSE
