company_name,nse,exchange
Navin Fluorine International Limited,NAVINFLUOR,NSE
Navneet Education Ltd.,NAVNETEDUL,NSE
Nazara Technologies Limited,NAZARA,NSE
NBCC (India) Ltd.,NBCC,NSE
NCC Limited,NCC,NSE
Neogen Chemicals Limited,NEOGEN,NSE
Nephrocare Health Service Pvt. Ltd.,NEPHROPLUS,NSE
Nesco Limited,NESCO,NSE
Netweb Technologies India Limited,NETWEB,NSE
NETWORK PEOPLE SERVICES TECHNOLOGIES LTD,NPST,NSE
Neuland Laboratories Limited,NEULANDLAB,NSE
Newgen Software Technologies Limited,NEWGEN,NSE
NHPC Ltd.,NHPC,NSE
NIIT Learning Systems Limited,NIITMTS,NSE
NIIT Limited,NIITLTD,NSE
Nilkamal Limited,NILKAMAL,NSE
Nippon Life Asset Management Ltd,NAM-INDIA,NSE
Nippon Life India Asset Management Limited,NAM-INDIA,NSE
Nitin Spinners Limited,NITINSPIN,NSE
Niva Bupa Health Insurance Company Limited,NIVABUPA,NSE
NLC India Limited,NLCINDIA,NSE
NMDC Limited,NMDC,NSE
NRB Bearing Ltd.,NRBBEARING,NSE
NRB Bearings Ltd.,NRBBEARING,NSE
NTPC Green Energy Limited,NTPCGREEN,NSE
NTPC Limited,NTPC,NSE
NUVAMA WEALTH MANAGEMENT LIMITED,NUVAMA,NSE
Nuvoco Vistas Corporation Ltd.,NUVOCO,NSE
Oberoi Realty Limited,OBEROIRLTY,NSE
Oil & Natural Gas Corporation Limited,ONGC,NSE
Oil India Limited,OIL,NSE
Ola Electric Mobility Ltd.,OLAELEC,NSE
OM INFRA LIMITED,OMINFRAL,NSE
Omnitech Engineering Limited,OMNI,NSE
One 97 Communications Limited,PAYTM,NSE
One MobiKwik Systems Limited,MOBIKWIK,NSE
Onemi Technology Solutions Limited,KISSHT,NSE
Onesource Specialty Pharma Limited,ONESOURCE,NSE
Onward Technologies Ltd,ONWARDTEC,NSE
Oracle Financial Ser Software Ltd.,OFSS,NSE
Oracle Financial Services Software Limited,OFSS,NSE
Orchid Pharma Limited,ORCHPHARMA,NSE
ORIENT ELECTIC LIMITED,ORIENTELEC,NSE
Orient Electric Limited,ORIENTELEC,NSE
Oriental Hotels Limited,ORIENTHOT,NSE
Orkla India Limited,ORKLAINDIA,NSE
OSWAL PUMPS LIMITED,OSWALPUMPS,NSE
P I Industries Ltd,PIIND,NSE
P N Gadgil Jewellers Limited,PNGJL,NSE
Pace Digitek Limited,PACEDIGITK,NSE
Page Industries Limited,PAGEIND,NSE
Paradeep Phosphates Limited,PARADEEP,NSE
Park Medi World Ltd.,PARKHOSPS,NSE
PB Fintech Limited,POLICYBZR,NSE
PCBL Chemical Limited,PCBL,NSE
PDS Limited,PDSL,NSE
PEARL GLOBAL INDUSTRIES LIMITED,PGIL,NSE
Pennar Industries Limited,PENIND,NSE
Persistent Systems Limited,PERSISTENT,NSE
Petronet LNG Limited,PETRONET,NSE
Pfizer Limited,PFIZER,NSE
PG Electroplast Limited,PGEL,NSE
PHYSICSWALLAH LIMITED,PWL,NSE
PI Industries Limited,PIIND,NSE
Pidilite Industries Limited,PIDILITIND,NSE
Pine Labs Limited,PINELABS,NSE
Piramal Finance Limited,PIRAMALFIN,NSE
Piramal Pharma Limited,PPLPHARMA,NSE
PNB Housing Finance Limited,PNBHOUSING,NSE
PNC Infratech Limited,PNCINFRA,NSE
Pokarna Limited,POKARNA,NSE
Poly Medicure Limited,POLYMED,NSE
Polycab India Limited,POLYCAB,NSE
Polyplex Corporation Limited,POLYPLEX,NSE
Pondy Oxides & Chemical Ltd.,POCL,NSE
Pondy Oxides & Chemicals Ltd,POCL,NSE
POONAWALLA FINCORP LIMITED,POONAWALLA,NSE
Power Finance Corporation Limited,PFC,NSE
Power Grid Corporation of India Limited,POWERGRID,NSE
Power Mech Projects Limited,POWERMECH,NSE
Powerica Limited,POWERICA,NSE
Praj Industries Limited,PRAJIND,NSE
Premier Energies Limited,PREMIERENE,NSE
Premier Explosives Ltd.,PREMEXPLN,NSE
Prestige Estates Projects Limited,PRESTIGE,NSE
Pricol Limited,PRICOLLTD,NSE
Prime Securities Limited,PRIMESECU,NSE
Prince Pipes And Fittings Limited,PRINCEPIPE,NSE
Privi Speciality Chemicals Ltd.,PRIVISCL,NSE
Procter & Gamble Health Limited,PGHL,NSE
Procter & Gamble Hygiene and Health Care Ltd.,PGHH,NSE
Protean eGov Technologies Limited,PROTEAN,NSE
PRUDENT CORPORATE ADVISORY SERVICES Limited,PRUDENT,NSE
PTC India Limited,PTC,NSE
PTC Industries Limited,PTCIL,NSE
PUNJAB ALKALIES AND CHEMICALS LTD,PUNJABCHEM,NSE
PVR INOX Limited,PVRINOX,NSE
PVR LIMITED,PVRINOX,NSE
Q-Line Biotech Ltd,QLINE-SM,NSE
Quality Power Electrical Eqp Ltd,QPOWER,NSE
Quess Corp Limited,QUESS,NSE
R K Swamy Ltd,RKSWAMY,NSE
R R Kabel Limited,RRKABEL,NSE
R Systems International Limited,RSYSTEMS,NSE
Radico Khaitan Limited,RADICO,NSE
Rainbow Childrens Medicare Limited,RAINBOW,NSE
Rajratan Global Wire Ltd.,RAJRATAN,NSE
Rallis India Limited,RALLIS,NSE
RAMCO INDUSTRIES LTD,RAMCOIND,NSE
Ramkrishna Forgings Limited,RKFORGE,NSE
Rane Holdings Limited,RANEHOLDIN,NSE
Rashi Peripherals Limited,RPTECH,NSE
Rategain Travel Technologies Limited,RATEGAIN,NSE
Ratnamani Metals & Tubes Limited,RATNAMANI,NSE
Ravindra Energy Limited,RELTD,NSE
Raymond Lifestyle Limited,RAYMONDLSL,NSE
Raymond Limited,RAYMOND,NSE
RBL Bank Limited,RBLBANK,NSE
REC Limited,RECLTD,NSE
Red Tape Ltd,REDTAPE,NSE
REDINGTON (INDIA) LTD,REDINGTON,NSE
Redtape Limited,REDTAPE,NSE
Relaxo Footwears Ltd.,RELAXO,NSE
Reliance Industries Limited,RELIANCE,NSE
Repco Home Finance Limited,REPCOHOME,NSE
Restaurant Brands Asia Limited,RBA,NSE
RHI Magnesita India Limited,RHIM,NSE
RISHABH INSTRUMENTS LIMITED,RISHABH,NSE
RITES Limited,RITES,NSE
Rolex Rings Limited,ROLEXRINGS,NSE
Rossari Biotech Limited,ROSSARI,NSE
Route Mobile Ltd.,ROUTE,NSE
RR Kabel Ltd.,RRKABEL,NSE
RUBICON RESEARCH LIMITED,RUBICON,NSE
S H Kelkar and Company Limited,SHK,NSE
S. P. Apparels Limited,SPAL,NSE
S.J.S. Enterprises Limited,SJS,NSE
Saatvik Green Energy Limited,SAATVIKGL,NSE
Safari Industries (India) Limited,SAFARI,NSE
Sagar Cements Ltd.,SAGCEM,NSE
SAGILITY INDIA LTD.,SAGILITY,NSE
Sai Life Sciences Limited,SAILIFE,NSE
Sai Silks (Kalamandir) Limited,KALAMANDIR,NSE
SAMHI HOTELS LTD,SAMHI,NSE
Samvardhana Motherson International Limited,MOTHERSON,NSE
Sanathan Textiles Limited,SANATHAN,NSE
Sandhar Technologies Limited,SANDHAR,NSE
Sanofi Consumer Healthcare India Limited,SANOFICONR,NSE
SANOFI INDIA LIMITED,SANOFI,NSE
Sansera Engineering Limited,SANSERA,NSE
Sapphire Foods India Limited,SAPPHIRE,NSE
Sarda Energy & Minerals Ltd.,SARDAEN,NSE
Saregama India Limited,SAREGAMA,NSE
Satin Creditcare Network Limited,SATIN,NSE
SBFC Finance Limited,SBFC,NSE
SBI CARDS AND PAYMENT SERVICES LTD,SBICARD,NSE
SBI Life Insurance Company Limited,SBILIFE,NSE
Schaeffler India Limited,SCHAEFFLER,NSE
Schneider Electric Infrastructure Limited,SCHNEIDER,NSE
Seamec Limited,SEAMECLTD,NSE
Sedemac Mechatronics Limited,SEDEMAC,NSE
Senco Gold Limited,SENCO,NSE
Shadowfax Technologies Limited,SHADOWFAX,NSE
Shaily Engineering Plastics Limited,SHAILY,NSE
Shankara Buildpro Ltd,BUILDPRO,NSE
Sharda Cropchem Limited,SHARDACROP,NSE
Sharda Motor Industries Ltd.,SHARDAMOTR,NSE
Sheela Foam Limited,SFL,NSE
Shilpa Medicare Limited,SHILPAMED,NSE
Shipping Corporation Of India Limited,SCI,NSE
Shopper Stop Ltd.,SHOPERSTOP,NSE
Shoppers Stop Ltd.,SHOPERSTOP,NSE
Shree Cement Limited,SHREECEM,NSE
Shreeji Shipping Global Limited,SHREEJISPG,NSE
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,NSE
Shriram Pistons & Rings Limited,SHRIPISTON,NSE
Shyam Metalics and Energy Limited,SHYAMMETL,NSE
Siemens Energy India Limited,ENRIN,NSE
Siemens Limited,SIEMENS,NSE
SignatureGlobal (India) Limited,SIGNATURE,NSE
Sirca Paints India Limited,SIRCA,NSE
SIS Limited,SIS,NSE
SKF India (Industrial) Limited,SKFINDIA,NSE
SKF INDIA Industrial Ltd.,SKFINDUS,NSE
Skipper Limited,SKIPPER,NSE
Sky Gold And Diamonds Limited,SKYGOLD,NSE
SMARTWORKS COWORKING SPACES LTD,SMARTWORKS,NSE
SMS Pharmaceuticals Limited,SMSPHARMA,NSE
Sobha Limited,SOBHA,NSE
Solar Industries India Limited,SOLARINDS,NSE
Somany Ceramics Limited,SOMANYCERA,NSE
Sona BLW Precision Forgings Limited,SONACOMS,NSE
Sonata Software Limited,SONATSOFTW,NSE
SRF Limited,SRF,NSE
SRI LOTUS DEVELOPERS AND REALTY LTD,LOTUSDEV,NSE
Stanley Lifestyles Limited,STANLEY,NSE
Star Cement Ltd.,STARCEMENT,NSE
Star Health And Allied Insurance Company Limited,STARHEALTH,NSE
STATE BANK OF INDIA.,SBIN,NSE
Steel Authority of India Limited,SAIL,NSE
Steel Strips Wheels Limited,SSWL,NSE
Steelcast Ltd,STEELCAS,NSE
Sterlite Technologies Limited,STLTECH,NSE
STL Networks limited,STLNETWORK,NSE
Stove Kraft Limited,STOVEKRAFT,NSE
Strides Pharma Science Limited,STAR,NSE
Studds Accessories Ltd,STUDDS,NSE
Stylam Industries Limited,STYLAMIND,NSE
Styrenix Performance Materials Limited,STYRENIX,NSE
Subros Ltd,SUBROS,NSE
Sudarshan Chemical Industries Limited,SUDARSCHEM,NSE
Sudeep Pharma Limited,SUDEEPPHRM,NSE
SULA VINEYARDS LIMITED,SULA,NSE
Sumitomo Chemical India Limited,SUMICHEM,NSE
Sun Pharmaceutical Industries Limited,SUNPHARMA,NSE
SUN TV Network Limited,SUNTV,NSE
Sundaram Clayton DCD Ltd.,SUNCLAY,NSE
SUNDARAM CLAYTON LTD,SUNCLAY,NSE
Sundaram Finance Limited,SUNDARMFIN,NSE
Sundram Fasteners Limited,SUNDRMFAST,NSE
SUNDROP BRANDS LTD,SUNDROP,NSE
Sunteck Realty Limited,SUNTECK,NSE
Suprajit Engineering Limited,SUPRAJIT,NSE
Supreme Industries Limited,SUPREMEIND,NSE
Supreme Petrochem Ltd.,SPLPETRO,NSE
Supriya Lifescience Limited,SUPRIYA,NSE
Suraksha Diagnostic Limited,SURAKSHA,NSE
Suryoday Small Finance Bank Limited,SURYODAY,NSE
Suzlon Energy Limited,SUZLON,NSE
Swan Corp Limited,SWANCORP,NSE
Swan Defence And Heavy Industries Ltd,SWANDEF,NSE
Swaraj Engines Limited,SWARAJENG,NSE
Swiggy Limited,SWIGGY,NSE
Symphony Ltd.,SYMPHONY,NSE
Syngene International Limited,SYNGENE,NSE
Syrma SGS Technology Limited,SYRMA,NSE
Tamil Nadu Newsprint & Papers Ltd.,TNPL,NSE
Tanla Platforms Limited,TANLA,NSE
TARC Limited,TARC,NSE
Tata Capital Limited,TATACAP,NSE
Tata Chemicals Ltd.,TATACHEM,NSE
Tata Communications Limited,TATACOMM,NSE
Tata Consultancy Services Limited,TCS,NSE
Tata Consumer Products Limited,TATACONSUM,NSE
Tata Elxsi Ltd.,TATAELXSI,NSE
Tata Motors Limited,TMCV,NSE
Tata Motors Passenger Vehicles Limited,TMPV,NSE
Tata Power Company Limited,TATAPOWER,NSE
Tata Steel Limited,TATASTEEL,NSE
Tata Technologies Limited,TATATECH,NSE
TBO Tek Limited,TBOTEK,NSE
TCI Express Ltd.,TCIEXP,NSE
TCPL Packaging Limited,TCPLPACK,NSE
TD Power Systems Limited,TDPOWERSYS,NSE
TeamLease Services Limited,TEAMLEASE,NSE
Tech Mahindra Limited,TECHM,NSE
Techno Electric & Engineering Company Limited,TECHNOE,NSE
TEGA INDUSTRIES LIMITED,TEGA,NSE
Tejas Networks Limited,TEJASNET,NSE
Tenneco Clean Air India Limited,TENNIND,NSE
Texmaco Rail & Engineering Limited,TEXRAIL,NSE
Thangamayil Jewellery Limited,THANGAMAYL,NSE
The Anup Engineering Limited,ANUP,NSE
The Ethos Ltd.,ETHOSLTD,NSE
The Federal Bank Limited,FEDERALBNK,NSE
The Great Eastern Shipping Company Limited,GESHIP,NSE
The India Cements Ltd.,INDIACEM,NSE
The Indian Hotels Company Limited,INDHOTEL,NSE
The Karnataka Bank Limited,KTKBANK,NSE
The Orissa Minerals Development Co Ltd,ORISSAMINE,NSE
The Phoenix Mills Limited,PHOENIXLTD,NSE
The Ramco Cements Limited,RAMCOCEM,NSE
The South Indian Bank Limited,SOUTHBANK,NSE
Thermax Limited,THERMAX,NSE
Thirumalai Chemicals Limited,TIRUMALCHM,NSE
Thyrocare Technologies Limited,THYROCARE,NSE
Tilaknagar Industries Limited,TI,NSE
Time Technoplast Limited,TIMETECHNO,NSE
Timken India Limited,TIMKEN,NSE
Tinna Rubber and Infrastructure Limited,TINNARUBR,NSE
Tips Music Ltd.,TIPSMUSIC,NSE
Titagarh Rail Systems Limited,TITAGARH,NSE
Titan Company Limited,TITAN,NSE
Torrent Pharmaceuticals Limited,TORNTPHARM,NSE
Torrent Power Limited,TORNTPOWER,NSE
Tracxn Technologies Ltd,TRACXN,NSE
Transformers And Rectifiers (India) Limited,TARIL,NSE
TRANSINDIA REAL ESTATE LTD,TREL,NSE
Transport Corporation of India Ltd.,TCI,NSE
Travel Food Services Limited,TRAVELFOOD,NSE
Trent Limited,TRENT,NSE
Triveni Engineering & Industries Limited,TRIVENI,NSE
Triveni Turbine Limited,TRITURBINE,NSE
Trualt Bioenergy Ltd,TRUALT,NSE
TSF Investments Limited,TSFINV,NSE
TTK Prestige Limited,TTKPRESTIG,NSE
Tube Investments Of India Limited,TIINDIA,NSE
Turtlemint Fintech Solutions Limited,TURTLEMINT,NSE
TVS Holdings Limited,TVSHLTD,NSE
TVS Motor Company Limited,TVSMOTOR,NSE
TVS Srichakra Limited,TVSSRICHAK,NSE
Ujjivan Small Finance Bank Limited,UJJIVANSFB,NSE
UltraTech Cement Limited,ULTRACEMCO,NSE
Unichem Laboratories Ltd.,UNICHEMLAB,NSE
Unicommerce Esolutions Limited,UNIECOM,NSE
Union Bank of India,UNIONBANK,NSE
UNITED BREWERIES LIMITED,UBL,NSE
United Foodbrands Limited,UFBL,NSE
United Spirits Limited,UNITDSPR,NSE
UNO Minda Limited,UNOMINDA,NSE
Updater Services Limited,UDS,NSE
UPL Ltd.,UPL,NSE
Urban Company Ltd.,URBANCO,NSE
Usha Martin Limited,USHAMART,NSE
UTI Asset Management Company Limited,UTIAMC,NSE
V-Guard Industries Ltd.,VGUARD,NSE
V-Mart Retail Limited,VMART,NSE
V.S.T Tillers Tractors Limited,VSTTILLERS,NSE
V2 Retail Limited,V2RETAIL,NSE
VA Tech Wabag Limited,WABAG,NSE
Vardhman Special Steels Ltd.,VSSL,NSE
Vardhman Textiles Limited,VTL,NSE
Varroc Engineering Limited,VARROC,NSE
Varun Beverages Limited,VBL,NSE
Vedant Fashions Limited,MANYAVAR,NSE
Vedanta Aluminium Metal Limited,VAML,NSE
Vedanta Iron And Steel Limited,VISL,NSE
Vedanta Limited,VEDL,NSE
Vedanta Power Ltd.,VEDPOWER,NSE
Ventive Hospitality Limited,VENTIVE,NSE
Venus Pipes And Tubes Limited,VENUSPIPES,NSE
Vesuvius India Limited,VESUVIUS,NSE
Vidya Wires Limited,VIDYAWIRES,NSE
Vijaya Diagnostic Centre Limited,VIJAYA,NSE
Vikram Solar Ltd,VIKRAMSOLR,NSE
Vinati Organics Limited,VINATIORGA,NSE
Vindhya Telelinks Limited,VINDHYATEL,NSE
Vintage Coffee And Beverages Limited,VINCOFE,NSE
VIP Industries Ltd.,VIPIND,NSE
VISHAL MEGA MART LIMITED,VMM,NSE
Vishnu Chemicals Limited,VISHNU,NSE
Vishnu Prakash R Punglia Limited,VPRPL,NSE
Voltamp Transformers Limited,VOLTAMP,NSE
Voltas Limited,VOLTAS,NSE
VRL Logistics Limited,VRLLOG,NSE
Waaree Energies Limited,WAAREEENER,NSE
Wakefit Innovations Limited,WAKEFIT,NSE
Welspun Corp Limited,WELCORP,NSE
Welspun Enterprises Limited,WELENT,NSE
Welspun Living Limited,WELSPUNLIV,NSE
WENDT (India) Ltd.,WENDT,NSE
West Coast Paper Mills Limited,WSTCSTPAPR,NSE
Westlife Foodworld Limited,WESTLIFE,NSE
Wework India Management Limited,WEWORK,NSE
Whirlpool of India Limited,WHIRLPOOL,NSE
Windlas Biotech Limited,WINDLAS,NSE
Wipro Ltd.,WIPRO,NSE
Wockhardt Limited,WOCKPHARMA,NSE
Wonderla Holidays Ltd.,WONDERLA,NSE
WPIL LTD,WPIL,NSE
Xpro India Limited,XPROINDIA,NSE
Yatharth Hospital And Trauma Care Services Limited,YATHARTH,NSE
Yatra Online Limited,YATRA,NSE
Zaggle Prepaid Ocean Services Limited,ZAGGLE,NSE
Zee Entertainment Enterprises Limited,ZEEL,NSE
Zensar Technologies Limited,ZENSARTECH,NSE
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,NSE
Zinka Logistics Solutions Ltd,BLACKBUCK,NSE
Zydus Lifesciences Limited,ZYDUSLIFE,NSE
Zydus Wellness Limited,ZYDUSWELL,NSE
